2023-10-22 11:55:08.869 | mainraceId | INFO  | 10276 | main | org.springframework.security.web.DefaultSecurityFilterChain.<init>(DefaultSecurityFilterChain.java:55) : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@33215ffb, org.springframework.security.web.context.SecurityContextPersistenceFilter@443af394, org.springframework.security.web.header.HeaderWriterFilter@3b362f1, org.springframework.web.filter.CorsFilter@6f289728, org.springframework.security.web.authentication.logout.LogoutFilter@7f012923, com.qingfeng.henthouse.filter.JwtAuthenticationTokenFilter@4a9a878, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7dd3981e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1850f2da, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7c421952, org.springframework.security.web.session.SessionManagementFilter@636dbfe7, org.springframework.security.web.access.ExceptionTranslationFilter@71ad959b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4d4b019e]
2023-10-22 11:55:08.966 | mainraceId | INFO  | 10276 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:220) : Tomcat started on port(s): 8802 (http) with context path ''
2023-10-22 11:55:08.994 | mainraceId | INFO  | 10276 | main | org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61) : Started HenthouseApplication in 5.081 seconds (JVM running for 10.803)
2023-10-22 11:57:07.862 | http-nio-8802-exec-1raceId | INFO  | 10276 | http-nio-8802-exec-1 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:525) : Initializing Servlet 'dispatcherServlet'
2023-10-22 11:57:07.865 | http-nio-8802-exec-1raceId | INFO  | 10276 | http-nio-8802-exec-1 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547) : Completed initialization in 2 ms
2023-10-22 12:51:12.536 | http-nio-8802-exec-2raceId | WARN  | 10276 | http-nio-8802-exec-2 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 12:51:21.758 | http-nio-8802-exec-5raceId | WARN  | 10276 | http-nio-8802-exec-5 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 12:52:00.352 | http-nio-8802-exec-7raceId | WARN  | 10276 | http-nio-8802-exec-7 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 12:53:33.971 | http-nio-8802-exec-3raceId | WARN  | 10276 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 12:56:25.519 | http-nio-8802-exec-6raceId | WARN  | 10276 | http-nio-8802-exec-6 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 12:57:53.404 | http-nio-8802-exec-9raceId | WARN  | 10276 | http-nio-8802-exec-9 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 12:59:47.596 | http-nio-8802-exec-5raceId | WARN  | 10276 | http-nio-8802-exec-5 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:01:00.624 | http-nio-8802-exec-5raceId | WARN  | 10276 | http-nio-8802-exec-5 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:01:07.228 | http-nio-8802-exec-2raceId | WARN  | 10276 | http-nio-8802-exec-2 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:01:26.701 | http-nio-8802-exec-6raceId | WARN  | 10276 | http-nio-8802-exec-6 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:01:29.332 | http-nio-8802-exec-3raceId | WARN  | 10276 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:01:33.770 | http-nio-8802-exec-2raceId | WARN  | 10276 | http-nio-8802-exec-2 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:04:28.508 | http-nio-8802-exec-8raceId | WARN  | 10276 | http-nio-8802-exec-8 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:08:09.949 | http-nio-8802-exec-6raceId | WARN  | 10276 | http-nio-8802-exec-6 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:08:14.628 | http-nio-8802-exec-6raceId | WARN  | 10276 | http-nio-8802-exec-6 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:08:16.721 | http-nio-8802-exec-6raceId | WARN  | 10276 | http-nio-8802-exec-6 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:08:18.980 | http-nio-8802-exec-10raceId | WARN  | 10276 | http-nio-8802-exec-10 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:08:24.984 | http-nio-8802-exec-3raceId | WARN  | 10276 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:13:37.237 | http-nio-8802-exec-1raceId | WARN  | 10276 | http-nio-8802-exec-1 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:15:55.005 | http-nio-8802-exec-8raceId | WARN  | 10276 | http-nio-8802-exec-8 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:16:00.637 | http-nio-8802-exec-5raceId | WARN  | 10276 | http-nio-8802-exec-5 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:16:28.527 | http-nio-8802-exec-5raceId | WARN  | 10276 | http-nio-8802-exec-5 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:16:34.537 | http-nio-8802-exec-3raceId | WARN  | 10276 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:16:40.716 | http-nio-8802-exec-9raceId | WARN  | 10276 | http-nio-8802-exec-9 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:16:44.072 | http-nio-8802-exec-10raceId | WARN  | 10276 | http-nio-8802-exec-10 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:18:49.863 | http-nio-8802-exec-5raceId | WARN  | 10276 | http-nio-8802-exec-5 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:21:06.623 | http-nio-8802-exec-8raceId | WARN  | 10276 | http-nio-8802-exec-8 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:22:43.924 | http-nio-8802-exec-3raceId | WARN  | 10276 | http-nio-8802-exec-3 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
2023-10-22 13:22:53.389 | http-nio-8802-exec-2raceId | WARN  | 10276 | http-nio-8802-exec-2 | org.springframework.web.servlet.DispatcherServlet.noHandlerFound(DispatcherServlet.java:1282) : No mapping for GET /images/bookundefined
